9265503	github	D1265400	https://desktop.github.com/
9265503	github	D3438005	https://github.com/
6832981	youtube	D2923232	https://au.youtube.com/
9571352	!	D1238374	https://www.englishclub.com/writing/punctuation-slash.htm
9571352	!	D889000	http://nationalpunctuationday.com/exclamationpoint.html
9571352	!	D291024	https://en.wikipedia.org/wiki/Exclamation_mark
9571352	!	D1240274	http://grammar.ccc.commnet.edu/grammar/marks/exclamation.htm
9571352	!	D1341457	https://en.wikipedia.org/wiki/Inverted_question_and_exclamation_marks
9571352	!	D3267999	https://www.quora.com/What-is-the-purpose-of-the-exclamation-mark-in-Excel
9571352	!	D372245	https://www.merriam-webster.com/dictionary/exclamation%20point
9571352	!	D2689792	http://www.dictionary.com/browse/exclamation--mark
9571352	!	D2853928	https://www.thoughtco.com/what-is-an-exclamation-point-1690687
9571352	!	D372242	https://www.quora.com/What-does-the-exclamation-point-mean
9571352	!	D2577640	https://www.collinsdictionary.com/dictionary/english/exclamation-mark
9571352	!	D507925	https://www.englishclub.com/teach-english.htm
9571352	!	D1222687	https://www.grammarly.com/blog/how-to-use-an-exclamation-point-properly-how-not-to-use-it/
9571352	!	D2853930	http://www.thepunctuationguide.com/exclamation-point.html
9571352	!	D2577639	https://www.merriam-webster.com/dictionary/exclamation
4896888	! c	D579719	https://en.wikipedia.org/wiki/C_%28programming_language%29
10001890	! c++	D1094795	https://en.wikipedia.org/wiki/Operators_in_C_and_C%2B%2B
12449286	! calculator	D1962946	https://web2.0calc.com/
11540571	! definition	D1756174	http://www.dictionary.com/browse/definition
4112722	! excel	D2296417	https://stackoverflow.com/questions/27037152/what-does-an-exclamation-mark-before-a-cell-reference-mean
4112722	! excel	D732261	http://www.answers.com/Q/What_is_the_purpose_of_the_exclamation_mark_in_a_Excel_formula_reference_from_on_sheet_to_another_stand_for
4112722	! excel	D3267999	https://www.quora.com/What-is-the-purpose-of-the-exclamation-mark-in-Excel
4112722	! excel	D372242	https://www.quora.com/What-does-the-exclamation-point-mean
6179132	! icon	D732329	https://en.wikipedia.org/wiki/Icon
3262423	! in c	D1094795	https://en.wikipedia.org/wiki/Operators_in_C_and_C%2B%2B
